ByteVal,enum{//,OPCode,ToStack_0,ToStack_1,ToStack_2,ToStack_3,ToStack_4,ToStack_5,NextByte_0,NextByte_1,NextByte_2,NextByte_3,NextByte_4,NextByte_5,NextByte_6,NextByte_7,NextByte_8,NextByte_9,NextByte_10,NextByte_11,NextByte_12,NextByte_13,FromStack_0,FromStack_1,FromStack_2,FromStack_3,FromStack_4
255,,impdep2,,,,,,,,,,,,,,,,,,,,,,,,,
203,,unused203,,,,,,,,,,,,,,,,,,,,,,,,,
204,,unused204,,,,,,,,,,,,,,,,,,,,,,,,,
205,,unused205,,,,,,,,,,,,,,,,,,,,,,,,,
206,,unused206,,,,,,,,,,,,,,,,,,,,,,,,,
207,,unused207,,,,,,,,,,,,,,,,,,,,,,,,,
208,,unused208,,,,,,,,,,,,,,,,,,,,,,,,,
209,,unused209,,,,,,,,,,,,,,,,,,,,,,,,,
210,,unused210,,,,,,,,,,,,,,,,,,,,,,,,,
211,,unused211,,,,,,,,,,,,,,,,,,,,,,,,,
212,,unused212,,,,,,,,,,,,,,,,,,,,,,,,,
213,,unused213,,,,,,,,,,,,,,,,,,,,,,,,,
214,,unused214,,,,,,,,,,,,,,,,,,,,,,,,,
215,,unused215,,,,,,,,,,,,,,,,,,,,,,,,,
216,,unused216,,,,,,,,,,,,,,,,,,,,,,,,,
217,,unused217,,,,,,,,,,,,,,,,,,,,,,,,,
218,,unused218,,,,,,,,,,,,,,,,,,,,,,,,,
219,,unused219,,,,,,,,,,,,,,,,,,,,,,,,,
220,,unused220,,,,,,,,,,,,,,,,,,,,,,,,,
221,,unused221,,,,,,,,,,,,,,,,,,,,,,,,,
222,,unused222,,,,,,,,,,,,,,,,,,,,,,,,,
223,,unused223,,,,,,,,,,,,,,,,,,,,,,,,,
224,,unused224,,,,,,,,,,,,,,,,,,,,,,,,,
225,,unused225,,,,,,,,,,,,,,,,,,,,,,,,,
226,,unused226,,,,,,,,,,,,,,,,,,,,,,,,,
227,,unused227,,,,,,,,,,,,,,,,,,,,,,,,,
228,,unused228,,,,,,,,,,,,,,,,,,,,,,,,,
229,,unused229,,,,,,,,,,,,,,,,,,,,,,,,,
230,,unused230,,,,,,,,,,,,,,,,,,,,,,,,,
231,,unused231,,,,,,,,,,,,,,,,,,,,,,,,,
232,,unused232,,,,,,,,,,,,,,,,,,,,,,,,,
233,,unused233,,,,,,,,,,,,,,,,,,,,,,,,,
234,,unused234,,,,,,,,,,,,,,,,,,,,,,,,,
235,,unused235,,,,,,,,,,,,,,,,,,,,,,,,,
236,,unused236,,,,,,,,,,,,,,,,,,,,,,,,,
237,,unused237,,,,,,,,,,,,,,,,,,,,,,,,,
238,,unused238,,,,,,,,,,,,,,,,,,,,,,,,,
239,,unused239,,,,,,,,,,,,,,,,,,,,,,,,,
240,,unused240,,,,,,,,,,,,,,,,,,,,,,,,,
241,,unused241,,,,,,,,,,,,,,,,,,,,,,,,,
242,,unused242,,,,,,,,,,,,,,,,,,,,,,,,,
243,,unused243,,,,,,,,,,,,,,,,,,,,,,,,,
244,,unused244,,,,,,,,,,,,,,,,,,,,,,,,,
245,,unused245,,,,,,,,,,,,,,,,,,,,,,,,,
246,,unused246,,,,,,,,,,,,,,,,,,,,,,,,,
247,,unused247,,,,,,,,,,,,,,,,,,,,,,,,,
248,,unused248,,,,,,,,,,,,,,,,,,,,,,,,,
249,,unused249,,,,,,,,,,,,,,,,,,,,,,,,,
250,,unused250,,,,,,,,,,,,,,,,,,,,,,,,,
251,,unused251,,,,,,,,,,,,,,,,,,,,,,,,,
,;,,,,,,,,,,,,,,,,,,,,,,,,,,
,},,,,,,,,,,,,,,,,,,,,,,,,,,
